task_id,level
0a1d4ef5,easy
692cd3b6,easy
1da012fc,easy
66e6c45b,easy
3194b014,easy
963f59bc,easy
d37a1ef5,easy
358ba94e,easy
f3cdc58f,easy
55059096,easy
c7d4e6ad,easy
4b6b68e5,easy
00576224,easy
a04b2602,easy
e9c9d9a1,easy
ef26cbf6,easy
7ee1c6ea,easy
e9ac8c9e,easy
1a2e2828,easy
770cc55f,easy
762cd429,medium
e7639916,medium
e1d2900e,medium
aee291af,medium
e95e3d8e,medium
e0fb7511,medium
ae58858e,medium
93c31fbe,medium
27a77e38,medium
9bebae7a,medium
9ddd00f0,medium
fe9372f3,medium
69889d6e,medium
15663ba9,medium
17b80ad2,medium
16b78196,medium
5b6cbef5,medium
40f6cd08,medium
505fff84,medium
d017b73f,medium
e5c44e8f,hard
604001fa,hard
4364c1c4,hard
506d28a5,hard
2037f2c7,hard
d5c634a2,hard
ac605cbb,hard
27f8ce4f,hard
66f2d22f,hard
3ed85e70,hard
8b28cd80,hard
d19f7514,hard
dc2aa30b,hard
f5c89df1,hard
50f325b5,hard
08573cc6,hard
3d31c5b3,hard
94133066,hard
136b0064,hard
90347967,hard
e99362f0,expert
1acc24af,expert
f9a67cb5,expert
ad7e01d0,expert
ea9794b1,expert
58e15b12,expert
891232d6,expert
5833af48,expert
4ff4c9da,expert
5b692c0f,expert
e2092e0c,expert
47996f11,expert
34b99a2b,expert
1c56ad9f,expert
e6de6e8f,expert
fea12743,expert
31d5ba1a,expert
79fb03f4,expert
8719f442,expert
a8610ef7,expert
